DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,SOC,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ABW,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,87,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ABW,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,87,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ABW,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,94.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AFG,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,7.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AGO,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,8.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AIA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,57.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AIA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,68.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ALB,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,78.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AND,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,86.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ARE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,3.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ARE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,4.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ARG,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,67,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ARG,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,63.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ARG,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,65.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ARM,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,47.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ARM,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,54.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ARM,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,49.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),ATG,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,65.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AUS,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,82,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AUS,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,94,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AUT,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,98.6,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AUT,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2018,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AUT,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AZE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,40.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AZE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,39,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),AZE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2023,35.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BDI,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,16.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
