iso3,year,gdppc_ppp
ABW,1990,33063.0015877316
AFE,1990,3519.3175448125
AFW,1990,4159.7321017396
AGO,1990,8368.72287865566
ALB,1990,5560.85699566409
AND,1990,50036.3007757561
ARB,1990,11329.8581318075
ARE,1990,111377.046890183
ARG,1990,17007.2844317191
ARM,1990,6137.60045786761
ATG,1990,21074.57643609
AUS,1990,36267.7410592234
AUT,1990,43258.1751068055
AZE,1990,10776.0677018086
BDI,1990,1460.27645878332
BEL,1990,41640.0583572132
BEN,1990,2207.06796428357
BFA,1990,1107.85590454965
BGD,1990,2069.78230100672
BGR,1990,14954.9612986603
BHR,1990,41856.54450772
BHS,1990,33072.1596125382
BIH,1990,2413.94823987662
BLR,1990,12351.6357110065
BLZ,1990,8251.61762539471
BMU,1990,79747.4825029841
BOL,1990,6247.10446615403
BRA,1990,12633.2884559605
BRB,1990,19613.2480547673
BRN,1990,118163.68336994
BTN,1990,3411.3837599176
BWA,1990,10520.9183978405
CAF,1990,1481.25255094258
CAN,1990,40475.1123914259
CEB,1990,17293.7542252734
CHE,1990,64010.7585544032
CHL,1990,10952.6557541746
CHN,1990,1666.92774090575
CIV,1990,5255.50962638401
CMR,1990,4517.61887779618
COD,1990,2403.9702501624
COG,1990,8699.52683870615
COL,1990,9998.81069684463
COM,1990,3114.56170355537
CPV,1990,1848.75865235574
CRI,1990,10953.4262046389
CSS,1990,13198.2754939448
CYP,1990,27666.650390625
CZE,1990,27918.1375190566
DEU,1990,42287.6527205782
DMA,1990,11311.5519762062
DNK,1990,46200.4747957389
DOM,1990,7327.72670133751
DZA,1990,11728.5457286791
EAP,1990,2513.15486746997
EAR,1990,5120.01466189996
EAS,1990,5756.09344699711
ECA,1990,13646.4448975706
ECS,1990,28222.4508334165
ECU,1990,9104.81599790272
EGY,1990,8006.62143741369
EMU,1990,37845.8555094646
ESP,1990,31773.2267420042
EST,1990,19163.2283645779
ETH,1990,874.346936189696
EUU,1990,33420.542632403
FCS,1990,6595.60723255025
FIN,1990,38807.1185244347
FJI,1990,7820.71719014994
FRA,1990,38655.8856842914
FSM,1990,3112.46491723246
GAB,1990,23884.8106998234
GBR,1990,32993.1694419805
GEO,1990,12917.0944269361
GHA,1990,2785.67114332501
GIN,1990,2105.74729496232
GMB,1990,2653.78291392125
GNB,1990,1967.96808437551
GNQ,1990,1122.81767364664
GRC,1990,26916.3125225704
GRD,1990,8883.91901529785
GRL,1990,38137.5684896955
GTM,1990,7594.72863203946
GUY,1990,5074.43109901682
HIC,1990,34929.4290859559
HKG,1990,31598.7559995379
HND,1990,1172.07980628643
HPC,1990,2185.39901487571
HRV,1990,23399.7367551672
HTI,1990,3959.02526089687
HUN,1990,21297.0006409015
IBD,1990,6242.01231847545
IBT,1990,5560.10797841199
IDA,1990,2878.06655891008
IDB,1990,4384.19429892849
IDN,1990,4873.05380133263
IDX,1990,2084.2337169258
IND,1990,2203.14703867968
IRL,1990,29555.6320622281
IRN,1990,9656.00116894359
IRQ,1990,10735.0941102925
ISL,1990,42336.427188355
ISR,1990,25335.2722247493
ITA,1990,42656.7445101659
JAM,1990,8879.65295231625
JOR,1990,7589.82007850421
JPN,1990,35272.4189828727
KAZ,1990,16837.690749004
KEN,1990,4177.48603310346
KGZ,1990,6095.68108610235
KHM,1990,2646.09798836687
KIR,1990,2213.54021971195
KNA,1990,14326.0410656507
KOR,1990,14377.8839203268
KWT,1990,38932.9435275146
LAC,1990,12298.9851513022
LAO,1990,2005.50049410401
LBN,1990,5345.51209718413
LBR,1990,1866.40548125833
LBY,1990,18126.5869612606
LCA,1990,17222.1486650676
LCN,1990,12426.2496443874
LDC,1990,1950.76740960445
LIC,1990,2091.57686580616
LKA,1990,4561.57913261438
LMC,1990,3015.43800491438
LMY,1990,4469.29824709104
LSO,1990,1422.15056881284
LTE,1990,6636.7162223126
LTU,1990,20586.227753241
LUX,1990,81450.5724064059
LVA,1990,17508.7863191492
MAC,1990,55300.7442649888
MAR,1990,4418.66015625
MDA,1990,15902.8943232278
MDG,1990,1968.27239771424
MDV,1990,8945.80478665277
MEA,1990,9205.14469478033
MEX,1990,17169.5925840496
MHL,1990,3905.58584891503
MIC,1990,4636.8778018825
MKD,1990,12904.5403359693
MLI,1990,1890.50212991263
MLT,1990,18207.4283499214
MMR,1990,775.328254381998
MNA,1990,6449.12589427744
MNG,1990,6637.81926731198
MOZ,1990,547.622781432196
MRT,1990,5519.61033643387
MUS,1990,9058.66650192375
MWI,1990,1047.46436351132
MYS,1990,12013.6969483112
NAC,1990,43996.1702778667
NAM,1990,7281.77892577888
NER,1990,1411.84892200281
NGA,1990,5423.8068960709
NIC,1990,4217.60888499484
NLD,1990,43128.3126390938
NOR,1990,57106.8839477005
NPL,1990,1808.26490041654
NRU,1990,30123.366206368
NZL,1990,30695.4673486392
OED,1990,33043.7623125884
OMN,1990,35201.5524871089
OSS,1990,14407.0704232495
PAK,1990,3199.72962609833
PAN,1990,10263.688873241
PER,1990,6317.07906710902
PHL,1990,4504.46230383567
PLW,1990,17851.1833597407
PNG,1990,3164.14887348766
POL,1990,12821.4636316574
PRE,1990,3604.0012200427
PRI,1990,26738.8144405273
PRT,1990,27190.5720267043
PRY,1990,9962.4802784313
PSS,1990,5435.53184302754
PST,1990,36375.7271673778
QAT,1990,71584.3761008266
ROU,1990,16316.912333926
RUS,1990,29643.595703125
RWA,1990,1122.99132414558
SAS,1990,2221.10401117058
SAU,1990,65196.573386053
SDN,1990,2460.18872070313
SEN,1990,2923.34412469673
SGP,1990,45567.7903891463
SLB,1990,2352.3992103107
SLE,1990,2703.59918712824
SLV,1990,5976.01762522026
SSA,1990,4065.82027451127
SSF,1990,3775.44715824752
SST,1990,12967.345601154
STP,1990,3883.20429842266
SUR,1990,17137.6509700556
SVK,1990,17528.2431478983
SVN,1990,25345.0480419604
SWE,1990,40549.3075177599
SWZ,1990,5447.73900233346
SYC,1990,15478.8475444228
SYR,1990,5828.40551611713
TCD,1990,1711.36988442035
TEA,1990,2543.86353534106
TEC,1990,19344.5180290423
TGO,1990,2237.59984450159
THA,1990,8701.95436053257
TJK,1990,4173.04607982249
TKM,1990,7925.49803469938
TLA,1990,12391.4871908826
TLS,1990,2143.79198485792
TMN,1990,6461.53898673099
TON,1990,4487.81921860299
TSA,1990,2221.10401117058
TSS,1990,3775.44715824753
TTO,1990,11869.5287266317
TUN,1990,6742.58426420551
TUR,1990,12184.1995945303
TUV,1990,2984.28555148916
TZA,1990,1794.20458984375
UGA,1990,1080.03830980398
UKR,1990,22815.798828125
UMC,1990,5959.99706687046
URY,1990,14060.8454762218
USA,1990,44378.5240275575
UZB,1990,4214.58399747196
VCT,1990,7467.37874657239
VNM,1990,2467.96460080463
VUT,1990,3101.68055101098
WLD,1990,11257.4362630542
WSM,1990,3990.92671302249
ZAF,1990,10811.1515328296
ZMB,1990,2425.11128678382
ZWE,1990,6082.84245095319
ABW,1991,33993.2075313444
AFE,1991,3424.50025403354
AFW,1991,4095.47152999225
AGO,1991,8172.50539080906
ALB,1991,4027.90551078531
AND,1991,47624.9668573542
ARB,1991,10900.1689316444
ARE,1991,106266.19369358
ARG,1991,18295.6091996812
ARM,1991,5326.75285558236
ATG,1991,21424.2911871461
AUS,1991,35670.6678637309
AUT,1991,44302.421470472
AZE,1991,10559.2119361527
BDI,1991,1501.8459320135
BEL,1991,42246.076049685
BEN,1991,2230.46054664537
BFA,1991,1178.07704639063
BGD,1991,2101.38366035658
BGR,1991,13828.2442168123
BHR,1991,47644.0234716882
BHS,1991,31148.9052622825
BIH,1991,2183.53511432798
BLR,1991,12197.7877887634
BLZ,1991,9028.07343837562
BMU,1991,76365.0430540655
BOL,1991,6440.4857162921
BRA,1991,12546.5605004545
BRB,1991,18790.868541122
BRN,1991,118220.68359533
BTN,1991,3338.00941826599
BWA,1991,11001.8013588128
CAF,1991,1427.69018313539
CAN,1991,39139.3122852292
CEB,1991,15451.9340581478
CHE,1991,62636.7741067256
CHL,1991,11607.5304034269
CHN,1991,1798.27610528653
CIV,1991,5052.85167051386
CMR,1991,4220.65297387084
COD,1991,2129.44892037951
COG,1991,8658.16145286005
COL,1991,9996.0978604328
COM,1991,2852.17677568215
CPV,1991,1830.07599656211
CRI,1991,10920.0994045314
CSS,1991,13263.7558204557
CYP,1991,27159.0390625
CZE,1991,24734.7702062546
DEU,1991,44125.1442791519
DMA,1991,11518.7646744945
DNK,1991,46752.671630889
DOM,1991,7246.24670144222
DZA,1991,11314.8647351204
EAP,1991,2666.0054431785
EAR,1991,5201.52775552403
EAS,1991,5988.03278719779
ECA,1991,12678.9943419036
ECS,1991,27734.7400086256
ECU,1991,9292.61779173762
EGY,1991,7876.55257554109
EMU,1991,38516.4825985087
ESP,1991,32499.3481371902
EST,1991,17718.9543942711
ETH,1991,777.523566122291
EUU,1991,33581.0969569532
FCS,1991,5962.43910587484
FIN,1991,36326.0828945358
FJI,1991,7547.67819928126
FRA,1991,38937.9522513749
FSM,1991,3282.91824685943
GAB,1991,24665.6792295081
GBR,1991,32466.1961615901
GEO,1991,10120.1628881435
GHA,1991,2859.82702166411
GIN,1991,2075.99194302675
GMB,1991,2623.64161607507
GNB,1991,2024.72770800391
GNQ,1991,1070.82764283041
GRC,1991,27419.6029332234
GRD,1991,8932.30359919008
GRL,1991,38162.9342232621
GTM,1991,7662.16744667172
GUY,1991,5396.46342590543
HIC,1991,34820.5826819326
HKG,1991,33124.6861100788
HND,1991,1436.05066019021
HPC,1991,2148.10551397015
HRV,1991,18812.9437548056
HTI,1991,3952.17272724934
HUN,1991,18765.4162504008
IBD,1991,6131.77329224866
IBT,1991,5463.51852015779
IDA,1991,2861.02697990909
IDB,1991,4336.76222065641
IDN,1991,5118.46789591815
IDX,1991,2078.63992435975
IND,1991,2178.6859145401
IRL,1991,29953.2439013902
IRN,1991,10592.3319257222
IRQ,1991,3819.16194827144
ISL,1991,41754.9758908173
ISR,1991,25698.9296957607
ITA,1991,43283.0204441901
JAM,1991,9227.87613770652
JOR,1991,7134.29024084856
JPN,1991,36372.0347517186
